,Mobility Profile
2016-01-01 00:00:00+00:00,88452.53008504242
2016-01-01 01:00:00+00:00,84792.20505411894
2016-01-01 02:00:00+00:00,87094.73454646533
2016-01-01 03:00:00+00:00,92579.75661273881
2016-01-01 04:00:00+00:00,101841.48818143178
2016-01-01 05:00:00+00:00,169632.11443529956
2016-01-01 06:00:00+00:00,255284.70192053515
2016-01-01 07:00:00+00:00,414871.0295830114
2016-01-01 08:00:00+00:00,644186.0251321275
2016-01-01 09:00:00+00:00,782591.5485603072
2016-01-01 10:00:00+00:00,803692.6479673511
2016-01-01 11:00:00+00:00,781802.4504284168
2016-01-01 12:00:00+00:00,889379.1467082199
2016-01-01 13:00:00+00:00,964544.3800547962
2016-01-01 14:00:00+00:00,768749.5213360384
2016-01-01 15:00:00+00:00,879232.8897353461
2016-01-01 16:00:00+00:00,914000.5627230274
2016-01-01 17:00:00+00:00,749676.4035900829
2016-01-01 18:00:00+00:00,484572.4344629021
2016-01-01 19:00:00+00:00,415184.92615584895
2016-01-01 20:00:00+00:00,383863.27032510546
2016-01-01 21:00:00+00:00,315005.6289887682
2016-01-01 22:00:00+00:00,218481.9848536872
2016-01-01 23:00:00+00:00,130846.60008197145
