,Mobility Profile
2016-01-01 00:00:00+00:00,133014.87307827605
2016-01-01 00:01:00+00:00,132905.42817349808
2016-01-01 00:02:00+00:00,102029.84252107902
2016-01-01 00:03:00+00:00,102029.847086879
2016-01-01 00:04:00+00:00,89274.66343808355
2016-01-01 00:05:00+00:00,68134.77782524619
2016-01-01 00:06:00+00:00,56633.97606292237
2016-01-01 00:07:00+00:00,47302.04599895537
2016-01-01 00:08:00+00:00,38832.04319211915
2016-01-01 00:09:00+00:00,51629.14023977952
2016-01-01 00:10:00+00:00,51629.15051282951
2016-01-01 00:11:00+00:00,45211.80673759638
2016-01-01 00:12:00+00:00,56479.64627861122
2016-01-01 00:13:00+00:00,58824.290856409534
2016-01-01 00:14:00+00:00,58824.295422209536
2016-01-01 00:15:00+00:00,53182.46104324655
2016-01-01 00:16:00+00:00,60077.669336487874
2016-01-01 00:17:00+00:00,60077.673902287876
2016-01-01 00:18:00+00:00,59950.826243214666
2016-01-01 00:19:00+00:00,49676.482954286
2016-01-01 00:20:00+00:00,49676.487520086004
2016-01-01 00:21:00+00:00,26209.234253775965
2016-01-01 00:22:00+00:00,26209.237678125966
2016-01-01 00:23:00+00:00,44724.422690397674
2016-01-01 00:24:00+00:00,55123.889432100645
2016-01-01 00:25:00+00:00,69242.59149181147
2016-01-01 00:26:00+00:00,79891.95297560815
2016-01-01 00:27:00+00:00,69818.68841016154
2016-01-01 00:28:00+00:00,121208.09289568357
2016-01-01 00:29:00+00:00,138334.57433977645
2016-01-01 00:30:00+00:00,171506.45176454904
2016-01-01 00:31:00+00:00,158705.6740703767
2016-01-01 00:32:00+00:00,209679.14295990643
2016-01-01 00:33:00+00:00,193842.58271815328
2016-01-01 00:34:00+00:00,163222.8811030845
2016-01-01 00:35:00+00:00,163226.0311274751
2016-01-01 00:36:00+00:00,154245.80538456218
2016-01-01 00:37:00+00:00,134786.04904658374
2016-01-01 00:38:00+00:00,109295.12408677892
2016-01-01 00:39:00+00:00,113191.0933813995
2016-01-01 00:40:00+00:00,92205.39357740285
2016-01-01 00:41:00+00:00,81364.12215411158
2016-01-01 00:42:00+00:00,66456.21844313122
2016-01-01 00:43:00+00:00,80652.92686483041
2016-01-01 00:44:00+00:00,80652.92686483041
2016-01-01 00:45:00+00:00,73125.0272229981
2016-01-01 00:46:00+00:00,69214.2218823114
2016-01-01 00:47:00+00:00,80094.09590828
2016-01-01 00:48:00+00:00,77711.70172713931
2016-01-01 00:49:00+00:00,76251.60441484698
2016-01-01 00:50:00+00:00,78585.53857419014
2016-01-01 00:51:00+00:00,78784.70923596683
2016-01-01 00:52:00+00:00,98554.53904208384
2016-01-01 00:53:00+00:00,87674.66501611524
2016-01-01 00:54:00+00:00,80139.62034915284
2016-01-01 00:55:00+00:00,83382.6410644894
2016-01-01 00:56:00+00:00,81831.27596378722
2016-01-01 00:57:00+00:00,103901.55015895944
2016-01-01 00:58:00+00:00,103901.55015895944
2016-01-01 00:59:00+00:00,104806.52824454526
2016-01-01 01:00:00+00:00,93634.74340574506
2016-01-01 01:01:00+00:00,91791.01709215021
2016-01-01 01:02:00+00:00,90073.0879344546
2016-01-01 01:03:00+00:00,111288.65332621253
2016-01-01 01:04:00+00:00,89940.1906611551
2016-01-01 01:05:00+00:00,78764.93979102766
2016-01-01 01:06:00+00:00,72827.73432465387
2016-01-01 01:07:00+00:00,91297.20557096615
2016-01-01 01:08:00+00:00,101942.3976338811
2016-01-01 01:09:00+00:00,114494.56564741267
2016-01-01 01:10:00+00:00,114957.72196387225
2016-01-01 01:11:00+00:00,114957.72196387225
2016-01-01 01:12:00+00:00,86756.94007813027
2016-01-01 01:13:00+00:00,98932.61503345282
2016-01-01 01:14:00+00:00,96946.82268279676
2016-01-01 01:15:00+00:00,96946.82268279676
2016-01-01 01:16:00+00:00,75484.78901748499
2016-01-01 01:17:00+00:00,77273.78478920326
2016-01-01 01:18:00+00:00,80206.38825507536
2016-01-01 01:19:00+00:00,81631.31455799702
2016-01-01 01:20:00+00:00,86825.61777623423
2016-01-01 01:21:00+00:00,71851.29157729587
2016-01-01 01:22:00+00:00,71851.29157729587
2016-01-01 01:23:00+00:00,71292.5065770122
2016-01-01 01:24:00+00:00,99031.7383319795
2016-01-01 01:25:00+00:00,99031.7383319795
2016-01-01 01:26:00+00:00,107189.36330179547
2016-01-01 01:27:00+00:00,85126.88801271886
2016-01-01 01:28:00+00:00,85126.88801271886
2016-01-01 01:29:00+00:00,92828.63574872485
2016-01-01 01:30:00+00:00,100466.98101840349
2016-01-01 01:31:00+00:00,70729.7210573049
2016-01-01 01:32:00+00:00,61232.0238059182
2016-01-01 01:33:00+00:00,53321.81319680626
2016-01-01 01:34:00+00:00,41754.93959971698
2016-01-01 01:35:00+00:00,59012.57038002036
2016-01-01 01:36:00+00:00,43156.075540415186
2016-01-01 01:37:00+00:00,43156.075540415186
2016-01-01 01:38:00+00:00,52604.46676397402
2016-01-01 01:39:00+00:00,61094.962828058146
2016-01-01 01:40:00+00:00,72793.71500843705
2016-01-01 01:41:00+00:00,72793.71500843705
2016-01-01 01:42:00+00:00,70632.53787218528
