,Mobility Profile
2016-01-01 00:00:00+00:00,58134.4226508934
2016-01-01 01:00:00+00:00,81168.42901487574
2016-01-01 02:00:00+00:00,81550.65298901545
2016-01-01 03:00:00+00:00,75602.21171298524
2016-01-01 04:00:00+00:00,87749.40650212285
2016-01-01 05:00:00+00:00,145083.15141938807
2016-01-01 06:00:00+00:00,287266.62692983664
2016-01-01 07:00:00+00:00,377622.8418556972
2016-01-01 08:00:00+00:00,543770.8066615339
2016-01-01 09:00:00+00:00,654591.4925035764
2016-01-01 10:00:00+00:00,760706.5963138457
2016-01-01 11:00:00+00:00,744333.9181380408
2016-01-01 12:00:00+00:00,727483.5154493084
2016-01-01 13:00:00+00:00,779113.8542386971
2016-01-01 14:00:00+00:00,792815.5476152874
2016-01-01 15:00:00+00:00,916747.5750965512
2016-01-01 16:00:00+00:00,868636.9221615494
2016-01-01 17:00:00+00:00,671469.7023700488
2016-01-01 18:00:00+00:00,516791.53700063046
2016-01-01 19:00:00+00:00,368266.1258547634
2016-01-01 20:00:00+00:00,302442.85348009557
2016-01-01 21:00:00+00:00,293256.31458063034
2016-01-01 22:00:00+00:00,208600.99936598347
2016-01-01 23:00:00+00:00,115579.44207782022
