,Mobility Profile
2016-01-01 00:00:00+00:00,48400.90669946805
2016-01-01 00:01:00+00:00,58215.88204967518
2016-01-01 00:02:00+00:00,74068.18835934225
2016-01-01 00:03:00+00:00,65044.69212139206
2016-01-01 00:04:00+00:00,48430.59044888109
2016-01-01 00:05:00+00:00,48430.59480632109
2016-01-01 00:06:00+00:00,64198.39873461385
2016-01-01 00:07:00+00:00,57654.29287377066
2016-01-01 00:08:00+00:00,57654.29723121066
2016-01-01 00:09:00+00:00,75713.1337549499
2016-01-01 00:10:00+00:00,67432.78765228961
2016-01-01 00:11:00+00:00,65257.521595005
2016-01-01 00:12:00+00:00,66427.7881239408
2016-01-01 00:13:00+00:00,50133.04864450093
2016-01-01 00:14:00+00:00,50133.05082322093
2016-01-01 00:15:00+00:00,39952.85385358706
2016-01-01 00:16:00+00:00,39884.03261875517
2016-01-01 00:17:00+00:00,31780.403057392752
2016-01-01 00:18:00+00:00,31780.40523611275
2016-01-01 00:19:00+00:00,48357.01030976806
2016-01-01 00:20:00+00:00,43716.66701989912
2016-01-01 00:21:00+00:00,55004.83191553843
2016-01-01 00:22:00+00:00,46324.639831565335
2016-01-01 00:23:00+00:00,58309.53595550297
2016-01-01 00:24:00+00:00,68710.30151132656
2016-01-01 00:25:00+00:00,77342.32088557814
2016-01-01 00:26:00+00:00,85758.57108021966
2016-01-01 00:27:00+00:00,93438.34749204005
2016-01-01 00:28:00+00:00,81985.01890663434
2016-01-01 00:29:00+00:00,74389.68756173577
2016-01-01 00:30:00+00:00,55190.79690629873
2016-01-01 00:31:00+00:00,55190.79690629873
2016-01-01 00:32:00+00:00,53958.803725205675
2016-01-01 00:33:00+00:00,49166.04162152052
2016-01-01 00:34:00+00:00,40534.022247268964
2016-01-01 00:35:00+00:00,32117.772052627413
2016-01-01 00:36:00+00:00,40613.98417918619
2016-01-01 00:37:00+00:00,40613.98417918619
2016-01-01 00:38:00+00:00,57053.11766915766
2016-01-01 00:39:00+00:00,60020.04553634716
2016-01-01 00:40:00+00:00,55826.965964047406
2016-01-01 00:41:00+00:00,54177.0451536038
2016-01-01 00:42:00+00:00,63113.597373090815
2016-01-01 00:43:00+00:00,80122.2796378552
2016-01-01 00:44:00+00:00,80907.68608256622
2016-01-01 00:45:00+00:00,80907.68608256622
2016-01-01 00:46:00+00:00,65258.69818557052
2016-01-01 00:47:00+00:00,74472.2932020276
2016-01-01 00:48:00+00:00,95267.47466373886
2016-01-01 00:49:00+00:00,92382.89185858188
2016-01-01 00:50:00+00:00,82062.32157249725
2016-01-01 00:51:00+00:00,74801.33417826678
2016-01-01 00:52:00+00:00,51495.771746179256
2016-01-01 00:53:00+00:00,41748.076875645325
2016-01-01 00:54:00+00:00,41748.076875645325
2016-01-01 00:55:00+00:00,43489.052135017286
2016-01-01 00:56:00+00:00,23800.845942933585
2016-01-01 00:57:00+00:00,31050.174742942025
2016-01-01 00:58:00+00:00,40681.093182481905
2016-01-01 00:59:00+00:00,56362.82742101104
2016-01-01 01:00:00+00:00,61859.880271325674
2016-01-01 01:01:00+00:00,61881.458771089856
2016-01-01 01:02:00+00:00,61881.458771089856
2016-01-01 01:03:00+00:00,105093.61331432941
2016-01-01 01:04:00+00:00,112753.38230021278
2016-01-01 01:05:00+00:00,123268.91741800007
2016-01-01 01:06:00+00:00,133615.67024655745
